Player Name,Position,Matchup Light,Offense Light,Vegas Light
Tucker Kraft,TE,YELLOW,YELLOW,GREEN
Keon Coleman,WR,RED,YELLOW,GREEN
Jordan Love,QB,RED,YELLOW,GREEN
Drake Maye,QB,RED,YELLOW,YELLOW
Jayden Higgins,WR,GREEN,YELLOW,YELLOW
Bhayshul Tuten,RB,YELLOW,RED,YELLOW
C.J. Stroud,QB,GREEN,RED,YELLOW
Tyjae Spears,RB,RED,GREEN,GREEN
Dalton Kincaid,TE,RED,YELLOW,GREEN
Dallas Goedert,TE,GREEN,YELLOW,YELLOW
Tank Bigsby,RB,RED,GREEN,YELLOW
Rachaad White,RB,RED,GREEN,RED
Rashid Shaheed,WR,RED,RED,RED
Jaydon Blue,RB,GREEN,RED,GREEN
J.J. McCarthy,QB,GREEN,YELLOW,GREEN
Jake Ferguson,TE,RED,YELLOW,GREEN
Jack Bech,WR,YELLOW,RED,YELLOW
Kyle Williams,WR,RED,RED,YELLOW
Austin Ekeler,RB,YELLOW,YELLOW,YELLOW
Marvin Mims,WR,YELLOW,GREEN,YELLOW
Tre Harris,WR,RED,YELLOW,YELLOW
Marquise Brown,WR,RED,YELLOW,YELLOW
Rashod Bateman,WR,GREEN,RED,GREEN
Isaac Guerendo,RB,GREEN,RED,YELLOW
Trey Benson,RB,GREEN,GREEN,GREEN
Trevor Lawrence,QB,GREEN,YELLOW,YELLOW
Kyle Pitts,TE,YELLOW,RED,YELLOW
Tyler Allgeier,RB,RED,GREEN,YELLOW
Michael Penix,QB,RED,RED,YELLOW
Cameron Ward,QB,YELLOW,RED,RED
Matthew Stafford,QB,YELLOW,RED,YELLOW
Ray Davis,RB,YELLOW,GREEN,GREEN
J.K. Dobbins,RB,YELLOW,YELLOW,YELLOW
Christian Kirk,WR,GREEN,YELLOW,YELLOW
Quentin Johnston,WR,RED,YELLOW,YELLOW
Adam Thielen,WR,GREEN,GREEN,GREEN
Isaiah Likely,TE,RED,GREEN,YELLOW
Xavier Legette,WR,YELLOW,YELLOW,RED
Jalen McMillan,WR,RED,YELLOW,GREEN
Bryce Young,QB,YELLOW,YELLOW,RED
Rico Dowdle,RB,YELLOW,YELLOW,RED
Pat Freiermuth,TE,YELLOW,YELLOW,YELLOW
Cedric Tillman,WR,GREEN,YELLOW,RED
Tua Tagovailoa,QB,YELLOW,YELLOW,YELLOW
Geno Smith,QB,YELLOW,RED,YELLOW
Braelon Allen,RB,GREEN,YELLOW,RED
Hunter Henry,TE,YELLOW,GREEN,YELLOW
Brenton Strange,TE,GREEN,YELLOW,YELLOW
Roschon Johnson,RB,GREEN,YELLOW,YELLOW
Sam Darnold,QB,RED,YELLOW,RED
Zach Ertz,TE,YELLOW,YELLOW,YELLOW
Nick Chubb,RB,YELLOW,YELLOW,YELLOW
Jaylen Wright,RB,GREEN,YELLOW,YELLOW
Wan'Dale Robinson,WR,GREEN,YELLOW,RED
DeAndre Hopkins,WR,GREEN,RED,GREEN
Joshua Palmer,WR,RED,YELLOW,GREEN
Jaylin Noel,WR,GREEN,YELLOW,YELLOW
Mike Gesicki,TE,GREEN,GREEN,GREEN
Cade Otton,TE,YELLOW,YELLOW,RED
Romeo Doubs,WR,YELLOW,YELLOW,GREEN
Mason Taylor,TE,YELLOW,YELLOW,RED
Aaron Rodgers,QB,YELLOW,YELLOW,YELLOW
Pat Bryant,WR,GREEN,YELLOW,YELLOW
Kareem Hunt,RB,RED,RED,YELLOW
Anthony Richardson,QB,YELLOW,YELLOW,YELLOW
Dylan Sampson,RB,RED,RED,RED
Keenan Allen,WR,RED,YELLOW,YELLOW
Justice Hill,RB,GREEN,YELLOW,RED
Jarquez Hunter,RB,YELLOW,YELLOW,YELLOW
Alec Pierce,WR,YELLOW,YELLOW,YELLOW
DJ Giddens,RB,YELLOW,YELLOW,YELLOW
Jerome Ford,RB,RED,RED,RED
Blake Corum,RB,YELLOW,YELLOW,RED
MarShawn Lloyd,RB,YELLOW,GREEN,GREEN
Devin Neal,RB,GREEN,YELLOW,RED
Dalton Schultz,TE,YELLOW,RED,YELLOW
Jalen Coker,WR,YELLOW,YELLOW,RED
Will Shipley,RB,RED,GREEN,YELLOW
Michael Wilson,WR,YELLOW,RED,GREEN
Jaxson Dart,QB,GREEN,RED,RED
Chigoziem Okonkwo,TE,GREEN,YELLOW,RED
DeMario Douglas,WR,RED,RED,YELLOW
Terrance Ferguson,TE,RED,RED,YELLOW
Dontayvion Wicks,WR,YELLOW,YELLOW,GREEN
Darius Slayton,WR,GREEN,YELLOW,RED
Ja'Tavion Sanders,TE,RED,RED,RED
Juwan Johnson,TE,RED,YELLOW,RED
Amari Cooper,WR,GREEN,GREEN,YELLOW
Tyler Lockett,WR,YELLOW,RED,RED
Roman Wilson,WR,YELLOW,RED,YELLOW
